10;2008;15;DAXTEC;MSTD200;1;Mastervolt;SunMaster QS 3500 Ma;3000;24;30;Plein Sud;3629;44.78; 0.46;France;33360;Cenac;Aquitaine Limousin Poitou Charentes;Gironde
10;2006;30;Kyocera;KC 120;2;SMA;Sunny Boy 1700;3600;30;20;Mahe a Madiere en Ariege;4427;43.14;1.71;France;9700;La Bastide de Lordat;Languedoc Roussillon Midi Pyrenees;Ariege
2;2008;14;Istar Solar;IS3000P   140wp;1;Solax;Mini X1 100;1960;14;45;Alp Solaire plus;2264;45.67;5.89;France;73100;Tresserve;Auvergne Rhone Alpes;Savoie
7;2007;12;SHARP;NT R5E3E;1;SMA;Sunny Boy 2100TL;2100;16;25;123 Solaire;2492;45.73;4.96;France;69680;Chassieu;Auvergne Rhone Alpes;Rhone
10;2008;16;SHARP;ND 170 E1 F (170 Wc);1;Fronius;IG 30;2720;21;35;Durand;3022;47.41; 1.2;France;44522;Mesanger;Pays de la Loire;Loire Atlantique
9;2008;12;SUNTECH;STP 175 24/Ac;1;SMA;Sunny Boy 2100TL;2100;15;30;Energies Economies Solutions;2220;46.08;6.53;France;74300;Thyez;Auvergne Rhone Alpes;Haute Savoie
11;2008;8;Schuco;S 320 PM 2;1;Sputnik;SOLARMAX 3000S;2560;22;5;Bati 82;2832;44.08;1.37;France;82130;Lamothe Capdeville;Occitanie;Tarn et Garonne
9;2008;14;DAXTEC;SONY 190 WP;1;Mastervolt;SunMaster QS 3500 Ma;2660;21;35;Plein Sud;3266;44.82; 0.61;France;33700;Merignac;Aquitaine Limousin Poitou Charentes;Gironde
12;2007;15;TRINA SOLAR;TSM 170D;1;KACO;Powador 2500 xi;2550;19;20;SUNNCO;3414;43.67;3.71;France;34570;Vailhauques;Languedoc Roussillon Midi Pyrenees;Herault
6;2008;16;Solarfun;SF 175 M5 24 (175 wc);1;SMA;Sunny Boy 2500;2800;21;15;EDEV EnR / Photonpow;3140;45.21;5.65;France;38360;Sassenage;Auvergne Rhone Alpes;Isere
8;2007;18;SHARP;ND Q2E3E;1;CONERGY;WR 3300;2916;24;20;Rolhion Energie;3263;45.82;3.07;France;63112;Blanzat;Auvergne Rhone Alpes;Puy de Dome
12;2007;20;SUNTECH;STP 165 24/Aa;1;KACO;Powador 3500 xi;3300;26;25;MECOTECH;4013;44.36;1.4;France;46170;Lhospitalet;Languedoc Roussillon Midi Pyrenees;Lot
11;2007;44;Kyocera;KC 130 GHT 2;2;Fronius;IG 40 4100W;5720;41;45;"BROSSIER Electricit&eacute;";6211;48.24;0.12;France;72170;Juille;Pays de la Loire;Sarthe
