12;2100;16;35;2964;1;43.67;3.72;1;2010;EDF ENR;Sunny Boy 2100TL;STP 175S-24/Ac;1052
12;2040;16;30;2482;1;44.89;-0.66;4;2008;SUNNCO;Sunny Boy 2100TL;TSM-170D;1053
14;2940;18;40;2828;1;50.69;2.85;3;2008;ENR SYSTEMS;SOLARMAX 3000C;HIP-210 NKHE5;1054
12;1020;8;30;1131;1;45.25;5.59;7;2003;Pi energies;Sunny Boy 1100 (;BP585L Saturn;1056
14;2450;18;15;3287;1;43.54;5.29;3;2008;NTD Provence;WR 2300;C 175 M;1057
34;3400;38;15;4702;1;43.52;6.87;2;2007;"Non renseign&eacute;";Sunny Boy 4200 TL;ASE-100-GT-FT/100;1058
18;3150;24;45;3339;1;48.48;-2.73;6;2008;Facilasol;Sunny Boy 2800;S 175-SP-3;1060
12;2520;16;20;2735;1;45.27;4.49;5;2008;FL Energie;IG 20;HIP-210 NKHE1;1061
14;2968;24;20;3422;1;43.55;2.18;4;2008;CMEE Genoudet;Sunny Boy 3000;M220-60 GET AK (212);1062
29;5800;38;45;5907;1;50.31;3.52;9;2007;ENR SYSTEMS;Sunny Boy 5000 TL;KC 200GHT-2;1063
24;2640;22;30;2982;1;46.03;4.1;7;2008;Moulin Jean michel;PWI-6-40-I;PW 1000 / 110W;1064
48;9600;72;20;10838;3;45.77;4.02;8;2010;BS AUTOMATION;Aurora PVI-3.0;PCA 200;1065
15;3000;21;35;3019;1;50.39;3.11;12;2007;ENR SYSTEMS;SOLARMAX 3000C;KC 200GT;1066
18;3060;24;15;4314;1;43.52;6.86;5;2007;AMISOLAIRE;Sunny Boy 3300;ASE-165-GT-FT/MC/170;1067
18;2970;24;35;3582;1;45.76;5.01;6;2008;SADEJA SOLAIRE;GridFit 2500;A 165 P;1068
24;3120;22;30;3656;1;45.1;5.72;6;2007;EPB Gacon Jacky;UNO-3.0-TL-OUTD;KC 130 GHT-2;1069
26;6500;40;60;6549;2;49.04;2.12;9;2017;"Moi m&amp;ecirc;me";ES1000;alfasolar 250 P;1071
8;1400;10;25;1379;1;45.73;4.88;2;2008;ENERCOS technologies;Sunny Boy 1100E;S 175-SP-3;1072
24;7200;66;30;10462;3;43.86;4.68;2;2008;BSP;Sinvert Solar 100;S 300-PM-4;1073
18;2898;24;20;3522;1;43.45;0.93;2;2008;Ne merite plus d'etre cite;Sunny Boy 3300 TL;S 861 TI;1074
48;6000;45;20;7032;2;43.91;1.96;5;2007;hairionelec et DiagEnergies;Sunny Boy 3000TL;PW6-BIPV1 / 125W;1075
14;2660;19;35;2850;1;48.77;2.07;6;2008;ENRGERIC;Sunny Boy 2500;Biosol 190 P;1076
16;2800;21;20;3252;1;43.56;2.2;5;2008;Cervin Env;SGI-2500;PV-MF175 TD4;1077
14;2800;21;20;3131;1;45.8;4.71;6;2008;Solaris-enr;Energrid EG 2500;TE 2000/200 Poly;1078
10;2720;20;45;2898;1;49.7;0.37;8;2008;Solariis Normandie;Sunny Boy 2500;SPR 10/20 280 (272Wc);1079
18;2970;22;15;3720;1;43.24;2.69;4;2008;Helio Therma;SunMaster QS 3500;CS5-165;1080
20;2600;20;30;2922;1;46.39;6.52;8;2007;Solar Savoies;SOLARMAX 3000C;SF 130/2-130;1081
12;2400;24;20;2670;1;47.19;-1.43;3;2008;ENR Atlantique;SOLARMAX 3000C;KC 200GHT-2;1082
24;4200;40;20;4329;1;42.87;2.18;8;2007;Helio Therma;SGI-2500;S 175-SP-3;1083
14;2940;18;30;3009;1;49.24;6.2;2;2009;ECOSOL Energie;Sunny Boy 3300 TL;HIP-210 NKHE1;1084
24;3888;32;20;5261;1;43.7;3.79;5;2008;"Sol&eacute;a";Sunny Boy 3300 TL;ND-162 E1F;1085
14;3010;22;20;3633;1;43.51;1.51;9;2007;MECOTECH;Sunny Boy 2800;HIP-215 NKHE1;1087
18;3060;23;20;3742;1;43.50;3.37;3;2008;Helio Therma;SunMaster QS 3500;CS5A-170M;1088
63;11025;81;15;13360;4;45.06;4.88;12;2007;Cervin Enr;Sunny Boy 2500;PV-MF175 TD4;1089
